rank,Uni,count,n_faculty
1,Univ. of California - San Diego,5.9,6
2,Duke University,3.6,4
2,University of Texas at Austin,3.6,3
4,Cornell University,3.0,2
5,Univ. of California - Irvine,2.6,3
6,Arizona State University,2.5,2
7,Pennsylvania State University,2.4,4
8,Univ. of California - Riverside,2.3,5
9,Northwestern University,2.2,3
9,University of Central Florida,2.2,4
9,University of Utah,2.2,2
12,Univ. of California - Davis,2.1,2
12,University of Michigan,2.1,4
14,University of Pittsburgh,2.0,1
15,Northeastern University,1.8,3
15,Univ. of California - Berkeley,1.8,5
15,Univ. of Illinois at Urbana-Champaign,1.8,4
18,Univ. of California - Los Angeles,1.7,1
18,Univ. of California - Santa Barbara,1.7,3
18,University of Notre Dame,1.7,3
21,Rochester Institute of Technology,1.6,2
22,New York University,1.5,2
22,Texas A&M University,1.5,1
22,Univ. of California - Santa Cruz,1.5,1
22,University of North Carolina,1.5,1
22,University of Wisconsin - Madison,1.5,1
27,Indiana University,1.4,1
27,Stanford University,1.4,3
29,Columbia University,1.3,1
29,Florida International University,1.3,1
29,Georgia Institute of Technology,1.3,2
29,Illinois Institute of Technology,1.3,1
29,Massachusetts Institute of Technology,1.3,1
29,Stony Brook University,1.3,1
29,Texas State University,1.3,1
29,University of Colorado Boulder,1.3,1
29,University of Connecticut,1.3,1
29,University of Kansas,1.3,1
29,University of Pennsylvania,1.3,1
29,University of Southern California,1.3,1
29,Virginia Tech,1.3,1
29,Washington State University,1.3,1
29,Yale University,1.3,1
