rank,Uni,count,n_faculty
1,University of Wisconsin - Madison,2.3,3
2,Princeton University,2.0,3
2,University of Delaware,2.0,1
4,Northeastern University,1.8,2
4,Rice University,1.8,1
4,Univ. of California - Berkeley,1.8,2
4,University of Waterloo,1.8,2
8,Cornell University,1.7,2
8,Stanford University,1.7,1
8,University of Toronto,1.7,2
11,University of Iowa,1.6,1
12,Boston University,1.5,1
12,Purdue University,1.5,1
12,Univ. of Illinois at Urbana-Champaign,1.5,1
12,University of Washington,1.5,2
12,Yale University,1.5,2
17,Carnegie Mellon University,1.3,1
17,Duke University,1.3,1
17,Florida State University,1.3,1
17,New York University,1.3,1
17,Univ. of California - Los Angeles,1.3,1
17,University of Colorado Boulder,1.3,1
17,University of Michigan,1.3,1
17,University of Texas - El Paso,1.3,1
25,McGill University,1.2,1
25,University of South Florida,1.2,1
25,University of Utah,1.2,1
28,Drexel University,1.1,1
28,Massachusetts Institute of Technology,1.1,1
28,Univ. of California - San Diego,1.1,1
28,University of British Columbia,1.1,1
28,University of Southern California,1.1,1
